hID,Impressions to CTA,Impressions to Views,Views to CTA,cluster
-9185217652402180575,0.001154068090017311,0.5729948066935948,0.002014098690835851,1
-9175544061209790002,2.4242458885555283e-06,0.0016096992700008704,0.0015060240963855422,1
-9156617651427282577,0.0,0.0015710619537512515,0.0,1
-9145254332915205176,2.2316534484206586e-05,0.0130373300138824,0.0017117411663617867,1
-9124186022016029939,3.580429160904334e-06,0.002327736030650911,0.001538159444953528,1
-9060515269420703901,1.6291835412939057e-06,0.0036757391943317095,0.0004432260982515408,1
-9054823158055871920,0.0,0.028514851485148516,0.0,1
-9053951776935744471,0.0,0.001251713211305204,0.0,1
-9027507980375807969,0.0,0.23607582567910887,0.0,1
-9025522220386825589,8.279586655692024e-06,0.003128027910435557,0.002646903062491903,1
-8980675186003719279,0.0,0.13483725088079088,0.0,1
-8858816505525933294,1.1710198032634112e-06,0.000864516775796258,0.0013545368187735285,1
-8801584497543469326,5.056259189150007e-06,0.001047461647873338,0.0048271544828545595,1
-8798511015488239960,0.0,0.22226969748760894,0.0,1
-8772732350363055626,1.2132760106792393e-08,0.004035388365546101,3.006590446258198e-06,1
-8724277022712003204,0.0,0.252725686873092,0.0,1
-8642314511715452180,0.0,0.002570514907699751,0.0,1
-8604422723199351182,0.0,0.0009331148869087928,0.0,1
-8580819169992036048,0.0,0.3355732122587968,0.0,1
-8496006069385227774,6.619656289554314e-05,0.03833437877779582,0.001726819763514356,1
-8469270708562013830,0.0,0.08985462178340978,0.0,1
-8348970133720433057,0.0002922267679719462,0.0897136177673875,0.003257328990228013,1
-8334512205093436265,0.0,0.0013946566791228163,0.0,1
-8331236804918450149,0.0,0.30070118662351675,0.0,1
-8237015514203290017,0.0,0.32155272305909616,0.0,1
-8226406304255505398,0.0,0.010946015540701171,0.0,1
-8125767338824362627,0.0,0.0017347670310030316,0.0,1
-8069837581277643352,0.0,0.009120064604608059,0.0,1
-8067920347994596944,0.0,0.058387548381783734,0.0,1
-8061563113554243534,0.0,0.03385416050406226,0.0,1
-8054340934052580098,0.0,0.3568587073524594,0.0,1
-7973638883996981484,0.0,0.003191899851899149,0.0,1
-7951907976646523184,0.0001658378577400256,0.030582630994791325,0.005422615790259191,1
-7905745300756863504,0.0,0.06723677909925425,0.0,1
-7870827885502754095,0.0,0.037262605294309394,0.0,1
-7857688527052432318,0.0,0.001006829111565894,0.0,1
