,page_cta_clicks_logged_in_total,page_fans_online,page_impressions,page_impressions_by_age_gender_unique,page_impressions_by_city_unique,page_impressions_by_country_unique,page_impressions_by_locale_unique,page_impressions_organic,page_impressions_paid,page_post_engagements,page_posts_impressions,page_posts_impressions_organic,page_posts_impressions_paid,page_video_views,page_video_views_organic,page_video_views_paid,page_views,page_views_by_age_gender_logged_in_unique,page_views_total
cluster1,0.9459126895479019,297743.8102514323,152290.9630451751,4669.793329190779,518.632002431437,2124.8872411431466,2342.895199223378,118262.62628956673,26054.420686337035,12731.579424403133,149818.53686358864,116214.43942027586,25998.312486898038,32807.98012006389,27249.12918638405,5558.841824778056,398.28057613925586,15.66817816261063,543.6350299774233
cluster2,0.0,12198930.034194186,27381433.213362068,339669.77599506325,26597.846124310054,143187.28255339572,157842.9640988721,26431996.172413792,812045.8448275862,1118880.8642857142,27221320.025862068,26275517.387931034,812045.9418103448,4184171.0387931033,3967581.4245689656,216586.97844827586,7028.788793103448,252.07464420563463,9947.70474137931
cluster3,44.012926206587565,3353013.020306548,6168247.0369971255,143491.18167167858,14843.728133036886,63971.953183745296,66813.07086484988,5418397.295797414,490278.6866020115,598828.728257722,6058401.196659483,5316119.416666666,490277.25826149434,1257011.0080818965,1167653.4012212644,89357.75359195401,7360.383441091955,273.7796376855533,11197.159123563217
